Time,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.03.21 15:14:21,23.76,-4.14,-27.96,-0.36872,1.13249,10.59227,-0.20928,-0.07127,0.15084,267.15848,-4.75058,-0.18843,-0.20928
2018.03.21 15:14:21,22.5,-4.2,-28.38,-0.71589,1.23066,8.98811,0.09371,-0.0676,0.15389,266.28976,-5.18681,0.20618,1005.36353
2018.03.21 15:14:21,23.4,-3.18,-28.38,-0.14126,1.20671,9.56273,-0.28503,0.14865,0.06348,266.16187,-4.60448,-0.72455,-0.28503
2018.03.21 15:14:21,23.4,-3.12,-28.2,-0.22506,1.55867,9.61301,-0.21233,0.10894,-0.06846,265.90527,-3.9011,-1.3222,-0.21233
2018.03.21 15:14:21,23.4,-2.04,-26.4,-0.68716,1.14925,9.2826,-0.15186,0.05763,-0.09412,266.80643,-3.39824,-1.89015,-0.15186
2018.03.21 15:14:21,23.58,-1.44,-26.76,-0.66082,1.38389,10.02722,-0.21844,-0.01934,-0.06602,267.45279,-2.8597,-2.16592,-0.21844
2018.03.21 15:14:21,22.26,-0.06,-27.54,0.08859,1.34798,11.33929,0.04423,-0.2643,0.07753,267.88428,-3.42869,-1.02492,0.04423
2018.03.21 15:14:22,21.96,-0.36,-27.36,0.86673,-0.08619,10.08229,0.16274,-0.18428,-0.17903,268.61124,-4.40609,0.26339,0.16274
2018.03.21 15:14:22,21.12,1.62,-29.28,0.72307,-0.63927,9.98891,0.32645,0.03625,-0.19858,271.92404,-3.724,0.84688,0.32645
2018.03.21 15:14:22,21,1.86,-28.44,0.67997,-0.08619,8.54756,0.08516,0.00448,-0.36107,274.31262,-4.64454,0.59039,0.08516
2018.03.21 15:14:22,22.02,2.34,-28.8,-0.27534,0.76856,9.41908,-0.00892,0.03869,-0.18636,276.2587,-4.30004,0.57639,1005.38843
2018.03.21 15:14:22,21.54,2.28,-29.94,0.39984,1.18038,9.09824,-0.00708,0.03991,0.00179,277.00598,-4.69799,0.38183,1005.38062
2018.03.21 15:14:22,20.4,2.94,-28.68,0.03831,1.12052,9.62977,-0.19034,-0.06027,-0.09045,277.98392,-4.89967,0.93138,1005.3811
2018.03.21 15:14:22,21.3,3.48,-28.92,0.4166,1.74543,10.90592,0.01857,-0.18428,0.06898,278.24548,-6.64721,1.62853,0.01857
2018.03.21 15:14:22,20.1,2.46,-29.64,0.93856,1.52755,10.87958,-0.06695,0.15353,0.19299,278.2399,-8.7281,2.30273,-0.06695
2018.03.21 15:14:22,19.38,2.58,-29.28,-0.22027,-0.44773,10.5396,-0.21661,-0.21238,-0.15459,279.47809,-7.76041,2.83765,1005.37891
2018.03.21 15:14:23,18.96,2.04,-29.22,-0.59139,-0.29689,8.19321,0.38387,0.0057,0.22781,279.60474,-7.6827,2.52833,0.38387
2018.03.21 15:14:23,18.78,2.46,-29.16,-0.06225,0.32083,9.26584,-0.08955,0.14865,0.25469,278.92776,-5.79129,1.39474,-0.08955
2018.03.21 15:14:23,19.5,2.1,-29.46,0.45012,0.96729,9.17726,-0.14209,0.08023,0.35731,277.62616,-4.48868,0.73828,-0.14209
2018.03.21 15:14:23,19.44,2.76,-28.92,0.61293,1.5874,9.82131,-0.17446,0.05152,0.15206,276.79889,-3.59865,0.76941,-0.17446
2018.03.21 15:14:23,18.9,2.22,-29.88,0.3759,0.94574,11.11662,0.23299,-0.05477,-0.08557,277.35126,-4.22547,1.13135,1005.3689
2018.03.21 15:14:23,17.52,1.74,-29.64,0.84757,0.42379,12.78064,0.25192,-0.11952,-0.08068,278.6181,-5.6802,1.78093,1005.37207
2018.03.21 15:14:23,17.34,2.4,-28.98,-0.28252,-0.39027,9.34964,0.01063,0.09306,-0.33419,281.02051,-5.62494,1.95928,1005.37988
2018.03.21 15:14:23,16.56,2.1,-30.42,-0.14605,-0.00718,9.35922,-0.1708,0.10711,-0.40383,282.87,-5.52588,1.45822,1005.38062
2018.03.21 15:14:23,16.14,3,-30.24,0.21788,1.01517,8.64573,0.05156,0.00082,0.02622,284.05475,-4.65792,0.63082,0.05156
2018.03.21 15:14:24,16.62,2.58,-29.94,0.14126,1.02954,9.37359,-0.1091,0.03502,-0.03486,284.52325,-4.48744,0.38721,1005.38184
2018.03.21 15:14:24,16.44,3.36,-29.88,0.62969,1.92021,9.7016,0.04179,0.01303,0.1148,284.41339,-5.65575,0.71058,1005.37671
2018.03.21 15:14:24,12.96,3.36,-27.96,0.2083,2.09738,10.11581,0.36982,0.04358,0.14045,284.92657,-7.89477,1.32333,0.36982
2018.03.21 15:14:24,14.28,1.74,-30.12,0.14366,-0.01676,11.4997,-0.02052,-0.0505,0.05493,285.09985,-8.02135,1.54469,-0.02052
