Time,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.02.26 11:07:16,29.96292,0.45528,-37.78534,0.21042,1.21407,9.66971,-0.14386,0.05325,-0.01068,279.25824,-6.86412,1.21869,1019.29205
2018.02.26 11:07:16,30.20687,0.75531,-38.06648,0.12662,1.28349,9.48537,-0.05225,0.02023,0.0607,279.15662,-6.58758,1.09114,1019.29187
2018.02.26 11:07:16,30.69439,0.51174,-37.71038,-0.11998,1.23322,9.81337,-0.08208,0.13208,0.13953,278.72049,-6.32812,0.61959,-0.08208
2018.02.26 11:07:16,30.54428,0.02422,-36.97929,-0.25166,1.68573,9.72478,-0.04799,0.08841,0.1555,277.52219,-6.08339,-0.06679,-0.04799
2018.02.26 11:07:16,30.54428,-0.14477,-36.15398,-0.06252,1.88924,9.36325,-0.06715,0.00638,0.07454,276.85645,-5.76253,-0.48855,-0.06715
2018.02.26 11:07:16,30.75066,-0.55733,-35.96668,-0.16069,2.07837,9.33931,-0.02455,0.02023,0.00317,276.99237,-5.86749,-0.57567,1019.29004
2018.02.26 11:07:16,30.91927,-0.83809,-35.46028,-0.24448,2.11908,9.51648,0.00954,-0.11612,-0.03412,277.28125,-6.10672,-0.14178,0.00954
2018.02.26 11:07:17,30.58186,-0.51956,-35.59132,-0.34743,1.73361,10.5029,0.04895,-0.0032,-0.07246,278.194,-6.73877,-0.07067,1019.28992
2018.02.26 11:07:17,31.14433,-0.53825,-35.47878,-0.27081,0.52454,10.6226,-0.04904,-0.05966,-0.15129,278.9375,-7.30272,-0.24833,1019.29016
2018.02.26 11:07:17,30.91927,0.28667,-35.23483,0.04044,0.23006,10.85724,-0.11617,0.05858,-0.18964,279.54242,-6.65821,-0.64077,-0.11617
2018.02.26 11:07:17,30.63812,0.54913,-34.29756,0.25591,0.75917,9.02806,0.26094,-0.03729,-0.03412,279.70026,-7.21098,-0.56064,0.26094
2018.02.26 11:07:17,30.69439,0.34313,-34.20391,0.33492,1.02971,9.01849,0.07559,0.03941,0.04898,279.33157,-6.98511,-0.70704,0.07559
2018.02.26 11:07:17,30.6942,0.00553,-33.82874,0.25351,1.33377,9.54042,-0.07568,-0.0096,-0.00322,278.99634,-7.52097,-0.56734,-0.07568
