Time,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.12.19 12:11:15,31.31409,-0.66681,-35.27985,0.03738,0.4894,9.82021,-0.04401,-0.01534,0.06444,272.62933,-2.02223,-0.12778,-0.04401
2018.12.19 12:11:15,29.96368,-1.26648,-32.58057,-0.3002,0.53009,9.97704,-0.04294,-0.00148,0.07509,272.2738,-1.96109,-0.12785,-0.04294
2018.12.19 12:11:15,29.96368,-3.06702,-32.88116,-0.04163,0.83296,9.97464,-0.02908,-0.03345,0.13048,271.37793,-2.18708,-0.06241,-0.02908
2018.12.19 12:11:15,29.96368,-0.81635,-31.82983,-0.5049,0.87247,10.5648,-0.09726,-0.14211,-0.01971,271.59671,-2.02116,0.07395,-0.09726
2018.12.19 12:11:15,29.96368,-1.56708,-35.13031,0.06133,1.17892,9.48741,0.01033,-0.02705,0.10918,271.34351,-2.11155,0.15943,0.01033
2018.12.19 12:11:15,30.71442,-2.76642,-34.08051,-0.20203,1.6458,9.7807,-0.00246,-0.06114,0.06444,270.88943,-2.75561,0.83766,-0.00246
2018.12.19 12:11:15,30.56335,-2.16675,-32.7301,-0.31815,1.29146,10.15779,0.05081,0.09651,-0.09109,271.08505,-3.11369,0.63966,0.05081
2018.12.19 12:11:15,28.31421,-3.21655,-33.77991,0.36899,0.84613,10.46066,0.19249,-0.13997,-0.02078,271.28491,-4.82878,1.39389,0.19249
2018.12.19 12:11:16,28.91388,-0.81635,-34.08051,0.03619,0.06561,11.01851,-0.43495,-0.03877,-0.25621,272.88586,-2.2889,1.25297,-0.43495
2018.12.19 12:11:16,29.51355,0.08392,-33.48083,0.95436,0.48341,9.43115,0.00926,-0.08458,-0.04636,273.24646,-1.81279,1.3899,0.00926
2018.12.19 12:11:16,30.41382,0.98267,-33.3313,0.54855,-0.32942,10.44989,-0.04187,0.18494,-0.28177,274.12042,-2.56507,1.5282,-0.04187
2018.12.19 12:11:16,28.91388,1.7334,-31.08063,0.64073,0.76114,8.62909,0.20207,0.13274,-0.09216,274.84879,-2.65618,0.72822,0.20207
2018.12.19 12:11:16,28.31421,-0.36621,-30.18036,0.33188,0.98021,9.42636,-0.04826,-0.0228,-0.12518,275.24548,-2.80531,0.34207,-0.04826
2018.12.19 12:11:16,29.66461,0.98267,-30.78003,0.24928,1.15378,10.07999,0.01884,0.01662,-0.01227,275.77747,-2.4082,0.64742,0.01884
