Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.07.03 15:19:46,64,14,25.68,4.86,-45.66,0.02155,0.45012,10.18046,0.03925,-0.01024,0.00918,288.44348,-1.32605,-0.47923,990.4397
2018.07.03 15:19:46,64,14,26.94,4.98,-45.24,-0.02155,0.24422,9.90751,-0.01023,0.02397,0.01345,288.12952,-1.50263,-0.47312,990.4397
2018.07.03 15:19:46,64,14,25.38,4.98,-44.52,-0.1245,0.20591,9.7878,-0.07498,0.02703,-0.00793,286.62543,-1.46098,-0.41674,990.43286
2018.07.03 15:19:46,64,14,26.28,5.1,-45.3,-0.03352,0.45012,9.99849,-0.04627,-0.05055,0.0556,285.97534,-1.21747,-0.20398,990.4397
2018.07.03 15:19:46,64,14,26.22,5.64,-45.36,-0.11493,0.47646,10.13975,-0.031,-0.00352,0.03483,285.29358,-1.18169,-0.13601,990.43457
2018.07.03 15:19:46,64,14,26.28,4.74,-44.28,-0.08619,0.23943,10.02243,-0.02,0.0032,0.0611,283.8905,-1.32381,-0.17131,990.4397
2018.07.03 15:19:46,64,14,25.8,4.8,-45.48,-0.01915,0.32083,9.94103,-0.00778,-0.0084,0.08798,283.08093,-1.38028,-0.26454,990.4397
2018.07.03 15:19:47,64,14,27.9,4.62,-45.42,0.02394,0.36632,10.04638,0.00199,0.00015,0.05805,282.48135,-1.37223,-0.17566,990.4397
2018.07.03 15:19:47,64,14,26.16,4.98,-44.88,0.09817,0.38308,9.86681,0.0307,0.0087,0.0159,282.61707,-1.65854,-0.11504,990.4397
2018.07.03 15:19:47,64,14,26.4,4.26,-45.24,0.02634,0.32083,9.84286,0.01787,0.01664,0.00124,283.44141,-1.85201,-0.08705,990.4397
2018.07.03 15:19:47,64,14,26.52,4.98,-44.82,-0.03831,0.29928,9.94342,-0.01084,0.0142,-0.02931,283.60114,-1.87511,-0.1208,990.4397
2018.07.03 15:19:47,64,14,26.82,4.26,-45.3,0.00239,0.3352,10.13975,-0.04199,-0.0365,-0.00732,282.85489,-1.75637,-0.13687,990.4397
2018.07.03 15:19:47,64,14,26.52,5.04,-45.78,0.15323,0.48364,10.08708,-0.00412,-0.01024,-0.03358,283.41248,-1.70533,-0.01857,990.42456
2018.07.03 15:19:47,64,14,25.8,5.7,-46.2,-0.14126,0.28731,9.97215,-0.01695,-0.00901,-0.07207,284.18625,-1.82252,0.05665,990.4397
2018.07.03 15:19:47,64,14,25.74,4.74,-45.3,-0.20591,0.29928,9.88117,-0.01511,0.00748,-0.03297,284.46902,-1.78528,0.03509,990.43384
2018.07.03 15:19:47,64,14,26.7,5.34,-45.78,0.05746,0.37111,10.02483,-0.00473,0.01237,0.03911,284.06674,-1.66827,-0.20714,990.43091
2018.07.03 15:19:47,64,14,25.98,5.1,-44.22,0.02873,0.41421,9.9937,-0.00106,-0.00413,-0.00609,284.38861,-1.77958,-0.26949,990.4397
2018.07.03 15:19:48,64,14,26.52,4.32,-45.48,-0.16999,0.27055,10.08708,-0.00412,0.00015,-0.00976,284.41537,-1.88807,-0.22213,990.4397
2018.07.03 15:19:48,64,14,26.88,4.74,-44.82,-0.01915,0.32083,9.95539,0.00871,0.00015,0.04155,283.67126,-1.92681,-0.34102,990.4397
2018.07.03 15:19:48,64,14,26.7,4.86,-45.6,0.11014,0.45252,9.89554,0.01543,-0.01085,0.02506,283.48407,-1.95654,-0.3299,990.4397
2018.07.03 15:19:48,64,14,25.86,4.32,-45.12,-0.05986,0.33041,9.94342,0.03742,0.0032,0.00673,283.80118,-2.22241,-0.261,990.4397
2018.07.03 15:19:48,64,14,26.04,4.8,-45.06,-0.09817,0.40703,9.81892,-0.02489,0.00687,0.0159,283.3143,-2.34351,-0.24606,990.4397
2018.07.03 15:19:48,64,14,26.46,4.68,-45.48,0.05267,0.52913,10.12299,-0.01939,-0.00901,0.03789,283.49905,-2.12655,-0.20543,990.4397
2018.07.03 15:19:48,64,14,26.52,4.8,-44.82,-0.05507,0.39506,9.89075,0.02276,0.02336,1e-05,283.83655,-2.22351,-0.17121,990.4397
2018.07.03 15:19:48,64,14,26.7,5.28,-44.4,-0.05746,0.37351,10.03919,0.00199,-0.01024,-0.00243,284.00079,-2.287,-0.17667,990.4397
2018.07.03 15:19:48,64,14,25.8,4.68,-45.18,-0.02155,0.48125,10.02243,-0.00045,-0.02428,0.0049,283.86349,-2.29232,-0.1312,990.43335
2018.07.03 15:19:49,64,14,25.86,5.7,-45.96,-0.14845,0.2945,10.10623,-0.02122,0.00076,-0.00609,284.40213,-2.3275,-0.16815,990.4397
2018.07.03 15:19:49,64,14,26.58,4.86,-44.76,0.07662,0.45252,9.91469,0.01543,-0.0084,0.03483,283.89093,-2.30045,-0.21822,990.42236
2018.07.03 15:19:49,64,14,26.16,4.14,-45.48,-0.0838,0.39745,9.95779,-0.00962,0.0032,-0.00182,283.82242,-2.2839,-0.20095,990.4397
2018.07.03 15:19:49,64,14,26.94,4.5,-44.76,-0.03113,0.43336,9.89793,-0.009,0.00381,0.00307,283.81079,-2.24728,-0.19783,990.41602
2018.07.03 15:19:49,64,14,26.46,4.68,-45.12,-0.05746,0.3783,10.03919,-0.00656,0.00015,-0.0122,283.54715,-2.24381,-0.24769,990.41284
2018.07.03 15:19:49,64,14,26.22,4.56,-45.12,-0.0407,0.43576,9.93145,-0.00351,0.00504,-0.00915,283.96075,-2.22028,-0.22778,990.4397
2018.07.03 15:19:49,64,14,26.52,4.5,-45.54,-0.14126,0.34956,10.03201,-0.01756,-0.01146,-0.01526,283.65826,-2.19913,-0.31425,990.4397
2018.07.03 15:19:49,64,14,26.58,4.68,-45.24,-0.03113,0.44055,9.91709,0.01421,0.01359,0.01651,283.93744,-2.15264,-0.35565,990.4397
2018.07.03 15:19:49,64,14,26.52,4.02,-46.08,-0.07422,0.45731,9.98173,-0.00473,-0.00962,-0.01587,284.04584,-2.24037,-0.37663,990.4397
2018.07.03 15:19:50,64,14,26.28,4.8,-45.9,-0.07901,0.419,9.93385,0.0026,0.00565,0.00979,282.95593,-2.27295,-0.37916,990.4397
2018.07.03 15:19:50,64,14,26.34,5.76,-45.18,-0.03831,0.44294,9.95061,-0.01817,0.00992,0.02201,282.64648,-2.30365,-0.39286,990.4397
