Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.03.21 15:07:00,26,18,29.76,1.02,-32.04,-0.12929,0.31365,9.98652,-0.07489,-0.034,-0.00432,277.42899,-1.58862,0.26871,1005.3269
2018.03.21 15:07:00,26,18,30.24,1.62,-31.62,-0.05028,0.31604,9.74709,-0.01136,0.00387,0.00301,277.14816,-1.54807,0.16052,1005.33423
2018.03.21 15:07:00,26,18,30.84,2.1,-31.8,0.06465,0.44773,9.8692,0.02346,0.02953,0.00545,275.81659,-1.62773,0.03958,1005.33594
2018.03.21 15:07:00,26,18,29.94,1.62,-31.2,-0.0407,0.27774,9.68005,-0.01991,-0.01018,0.01462,275.59369,-1.69255,-0.04042,1005.33594
2018.03.21 15:07:00,26,18,30.12,1.5,-31.26,0.03352,0.39266,9.78301,-0.03152,0.02953,0.00973,275.3009,-1.5834,-0.07395,1005.32617
2018.03.21 15:07:00,26,18,30.42,2.16,-31.98,0.02634,0.35196,9.76146,0.00025,-0.00651,0.00545,275.58542,-1.56064,-0.00506,1005.33594
2018.03.21 15:07:00,26,18,30,1.86,-31.92,-0.02155,0.27295,9.97455,-0.02052,-0.00713,-0.01776,275.23907,-1.50466,0.07377,1005.33594
2018.03.21 15:07:00,26,18,30.96,2.64,-32.4,-0.05267,0.26098,9.88357,-0.00281,-0.00713,-0.0257,275.74719,-1.56303,0.14386,1005.33594
2018.03.21 15:07:00,26,18,30.06,2.7,-32.4,-0.05507,0.32083,9.87638,0.01185,-0.01384,-0.00432,276.10623,-1.60803,0.13309,1005.33594
2018.03.21 15:07:01,26,18,30.36,2.22,-31.5,0.00239,0.35196,9.90272,-0.01197,0.00876,0.0024,275.8251,-1.63226,0.0854,1005.33594
2018.03.21 15:07:01,26,18,29.82,2.28,-31.56,-0.01197,0.29928,9.84765,0.00758,-0.00896,-0.01715,276.41718,-1.70689,0.07889,1005.33594
2018.03.21 15:07:01,26,18,30.06,2.64,-31.86,0.02873,0.39027,9.77822,0.01491,-0.00835,-0.01104,276.57736,-1.72723,0.1122,1005.33594
2018.03.21 15:07:01,26,18,30.3,3.42,-31.74,-0.04549,0.34717,9.93385,0.03079,0.01364,-0.01654,277.36035,-1.81031,0.12335,1005.33594
2018.03.21 15:07:01,26,18,29.94,2.4,-31.56,-0.14366,0.27774,9.78061,0.00819,0.00815,-0.00982,276.76471,-1.91525,-0.00199,1005.33594
2018.03.21 15:07:01,26,18,30.24,2.76,-31.44,0.05028,0.39506,9.73273,0.0088,0.02281,0.01767,276.6066,-1.97324,-0.12129,1005.31982
2018.03.21 15:07:01,26,18,29.76,2.16,-30.66,-0.02873,0.35196,9.80216,0.00513,0.01181,-0.02753,276.43985,-1.99909,-0.10054,1005.31982
2018.03.21 15:07:01,26,18,30.42,3.06,-30.96,-0.00239,0.35914,10.01046,-0.02358,-0.01812,-0.00127,276.60287,-1.99039,-0.12375,1005.33594
2018.03.21 15:07:01,26,18,30.48,2.16,-32.16,0.02634,0.34478,9.704,-0.00586,0.00326,0.00301,276.61639,-2.03699,-0.10119,1005.33594
2018.03.21 15:07:01,26,18,30.24,2.4,-32.22,-0.02873,0.38069,9.69921,0.01185,0.00265,0.00545,276.35565,-2.0554,-0.09936,1005.31665
2018.03.21 15:07:02,26,18,30.3,2.88,-32.4,-0.0431,0.34238,9.8692,0.00635,-0.00468,0.0079,276.6503,-2.07653,-0.07317,1005.33594
2018.03.21 15:07:02,26,18,29.94,2.4,-31.8,-0.01437,0.36872,9.85723,0.00025,0.00448,-0.00188,276.82776,-2.08336,-0.1355,1005.33594
2018.03.21 15:07:02,26,18,29.94,2.28,-31.62,-0.02873,0.35675,9.80455,-0.00464,-0.00896,0.00667,276.92889,-2.1383,-0.18549,1005.33594
2018.03.21 15:07:02,26,18,30.18,2.04,-31.8,-0.01197,0.39027,9.71118,-0.02052,-0.01201,0.00362,276.96426,-2.13737,-0.25795,1005.33594
2018.03.21 15:07:02,26,18,30.78,2.34,-31.74,-0.02634,0.33999,9.7016,0.02468,0.00754,0.01095,276.97266,-2.15528,-0.26229,1005.33594
2018.03.21 15:07:02,26,18,30.54,2.64,-31.92,-0.06704,0.38787,9.83808,0.00635,0.00387,-0.00554,277.0477,-2.19184,-0.26978,1005.33594
2018.03.21 15:07:02,26,18,29.88,2.28,-31.92,-0.11014,0.36154,9.88117,0.00208,0.00265,-0.00249,277.11609,-2.25462,-0.28004,1005.33594
2018.03.21 15:07:02,26,18,30,2.58,-31.92,-0.07422,0.4166,9.89075,0.00391,-0.00102,0.00729,277.13757,-2.28063,-0.3261,1005.33594
2018.03.21 15:07:02,26,18,29.94,2.4,-31.56,-0.07901,0.419,9.89314,-0.00953,0.01609,0.00973,277.14929,-2.29559,-0.3958,1005.33594
2018.03.21 15:07:03,26,18,30.78,2.1,-30.96,-0.04549,0.419,9.75428,0.01246,-0.00774,-0.00127,277.25647,-2.43001,-0.37378,1005.33594
2018.03.21 15:07:03,26,18,30.48,1.5,-31.38,-0.08141,0.43097,9.70639,0.01491,0.00815,-0.00188,277.32199,-2.42772,-0.38235,1005.33301
2018.03.21 15:07:03,26,18,29.88,2.52,-32.46,0.0407,0.45012,9.79498,0.01857,-0.00224,0.0195,277.32639,-2.47578,-0.36213,1005.33594
2018.03.21 15:07:03,26,18,30.18,2.34,-32.76,-0.10535,0.42139,9.94103,0.00513,0.01914,-0.01043,277.43076,-2.46934,-0.43976,1005.33594
2018.03.21 15:07:03,26,18,30.54,2.22,-31.86,-0.07662,0.43336,9.76385,-0.01625,0.01792,-0.01348,277.44388,-2.47116,-0.51879,1005.32886
2018.03.21 15:07:03,26,18,30,1.86,-30.96,-0.09338,0.43336,9.85962,-0.01319,0.00021,0.00362,277.40018,-2.45649,-0.52801,1005.33594
2018.03.21 15:07:03,26,18,31.26,2.7,-31.92,-0.07662,0.43097,9.81413,-0.00342,-0.00102,0.014,277.37753,-2.49233,-0.55273,1005.33594
2018.03.21 15:07:03,26,18,30.3,2.4,-31.56,-0.10774,0.45731,9.79977,0.01002,0.00387,-5e-05,277.41983,-2.53558,-0.59132,1005.33594
2018.03.21 15:07:03,26,18,30.48,2.46,-31.98,-0.09098,0.47167,9.79258,0.00269,0.03014,-5e-05,277.48102,-2.58691,-0.66006,1005.33594
2018.03.21 15:07:04,26,18,31.02,2.34,-32.34,-0.1245,0.52195,9.63696,0.07233,0.00204,0.00362,277.61252,-2.7914,-0.7209,1005.33594
2018.03.21 15:07:04,26,18,31.56,1.44,-32.22,-0.15563,0.49561,9.7423,-0.00036,0.01242,-0.01898,277.8262,-2.93287,-0.71445,1005.33594
2018.03.21 15:07:04,26,18,30.84,1.8,-32.04,-0.07422,0.51716,9.7447,0.02651,-0.00774,-0.00371,277.94788,-3.00217,-0.70554,1005.33594
2018.03.21 15:07:04,26,18,30.78,1.62,-31.86,-0.12211,0.51477,9.84047,0.01002,-0.01446,-0.02326,278.08249,-3.01503,-0.68079,1005.31519
2018.03.21 15:07:04,26,18,30.84,2.16,-32.1,-0.17239,0.48125,9.81653,0.01674,-0.02056,-0.01776,278.14539,-3.02827,-0.71616,1005.31519
2018.03.21 15:07:04,26,18,30.48,2.28,-31.32,-0.19154,0.50759,9.85005,-0.01136,0.00326,-0.01043,278.12091,-2.99482,-0.75392,1005.31543
2018.03.21 15:07:04,26,18,30.96,1.8,-31.62,-0.14126,0.51716,9.69681,0.00086,0.00692,-0.01287,278.09988,-3.01777,-0.7744,1005.31543
