Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure
2018.02.23 17:23:57,64,24,34.32,12.42,-19.74,-0.26098,0.13169,9.56992,-0.0295,-0.03153,-0.04105,292.8501,-1.82067,-1.9908,1014.56323
2018.02.23 17:23:57,64,24,33.96,12,-19.86,-0.43576,0.49083,9.79498,-0.04354,0.00024,-0.00501,292.66479,-1.40413,-2.02001,1014.55176
2018.02.23 17:23:57,64,24,34.14,12.9,-20.28,-0.38548,0.35196,9.96497,-0.0295,-0.02847,-0.03311,291.84381,-1.33033,-1.96191,1014.54736
2018.02.23 17:23:57,64,24,34.26,12.12,-20.22,-0.45491,0.33759,9.93145,0.02548,-0.01504,-0.01173,291.28549,-1.53872,-1.93072,1014.56323
2018.02.23 17:23:57,64,24,35.04,12.78,-20.04,-0.47167,0.249,9.83329,0.02854,-0.00465,0.0121,291.07767,-1.78947,-1.96516,1014.56323
2018.02.23 17:23:57,64,24,35.28,11.64,-20.34,-0.37111,0.39984,9.80934,0.0322,0.00451,0.01759,290.65356,-1.94472,-2.08843,1014.56323
2018.02.23 17:23:57,64,24,34.2,12.24,-20.04,-0.43815,0.3759,9.87399,0.0206,0.02589,0.02248,290.69919,-2.09474,-2.30902,1014.56323
2018.02.23 17:23:57,64,24,33.96,11.82,-19.92,-0.39266,0.4621,9.6609,0.04381,0.05338,-0.00867,290.8663,-2.3337,-2.35473,1014.56323
2018.02.23 17:23:58,64,24,33.96,12.54,-20.46,-0.53153,0.38787,9.85484,0.03098,-0.02053,0.00049,291.22043,-2.45786,-2.35634,1014.56323
2018.02.23 17:23:58,64,24,34.2,11.58,-20.64,-0.33999,0.45252,9.80455,0.02243,0.01368,0.0347,291.2496,-2.5645,-2.453,1014.56323
2018.02.23 17:23:58,64,24,34.2,11.16,-19.86,-0.29689,0.54589,9.75428,-0.00689,0.01245,0.01881,291.00693,-2.64521,-2.36382,1014.56323
2018.02.23 17:23:58,64,24,34.38,12,-20.94,-0.34478,0.50998,9.77343,0.0267,-0.02359,-0.00195,290.92926,-2.74057,-2.1753,1014.54541
2018.02.23 17:23:58,64,24,34.56,12,-20.76,-0.35675,0.56984,9.89314,-0.01422,-0.00709,0.00415,291.04285,-2.78354,-2.13117,1014.54468
2018.02.23 17:23:58,64,24,34.14,12,-21.24,-0.38787,0.51716,9.85962,0.00227,0.00329,-0.00195,291.1102,-2.85827,-2.10074,1014.54468
2018.02.23 17:23:58,64,24,34.98,11.88,-20.34,-0.35196,0.5435,9.94342,0.00471,-0.0242,0.01454,290.72568,-2.9255,-2.08734,1014.56323
2018.02.23 17:23:58,64,24,34.62,11.94,-20.34,-0.22746,0.60815,9.79498,0.01571,-0.00221,0.02248,290.78699,-3.04409,-2.03559,1014.54297
2018.02.23 17:23:58,64,24,34.14,11.88,-20.7,-0.34238,0.52913,9.80216,0.01265,-0.00282,-0.01845,291.09302,-3.18526,-1.97015,1014.54541
2018.02.23 17:23:59,64,24,34.92,12,-21.66,-0.23464,0.58899,9.83568,-0.00201,-0.01198,-0.00012,291.10873,-3.25332,-1.90246,1014.56323
2018.02.23 17:23:59,64,24,34.68,11.46,-20.52,-0.31604,0.54589,9.8692,0.00166,-0.03153,-0.02578,291.06116,-3.29145,-1.76113,1014.56323
2018.02.23 17:23:59,64,24,34.32,11.88,-21.18,-0.38069,0.5028,9.67048,-0.01361,-0.03336,0.01515,291.50583,-3.33271,-1.77736,1014.56323
2018.02.23 17:23:59,64,24,33.96,11.76,-21.24,-0.25858,0.65364,9.81413,0.01937,-0.02909,0.05547,291.15387,-3.33443,-1.68527,1014.56323
