Time,X-cord,Y-cord,Mag_x,Mag_y,Mag_z,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Orn_x,Orn_y,Orn_z,Pressure,
2021.02.11 12:42:50,50.0,15.0,-3.24,17.82,-27.9,-0.7134939,0.2083019,9.608225,-0.0052839844,0.004233296,-0.021663725,-0.02161664515733719,0.0741226077079773,0.28013876080513,1019.19507,
2021.02.11 12:42:50,50.0,15.0,-3.0,17.94,-28.019999,-0.87151605,-0.04070267,9.510059,0.020372357,0.36342207,-0.17071484,0.004262074362486601,0.09138624370098114,0.3016146421432495,1019.19507,
2021.02.11 12:42:50,50.0,15.0,-2.3999999,17.82,-28.199999,-0.818842,-0.45491222,9.778218,-0.073090024,-0.094116,-0.0906915,0.04632756859064102,0.08354650437831879,0.2798736095428467,1019.19946,
2021.02.11 12:42:50,50.0,15.0,-1.5,16.98,-29.4,-0.6608198,-0.34956414,10.185245,-0.18365663,-0.30181018,0.06080308,0.03423525020480156,0.0647893100976944,0.20979750156402588,1019.19946,
2021.02.11 12:42:50,50.0,15.0,-0.35999998,16.619999,-30.42,-0.13168511,-0.13886794,10.041589,-0.06453791,-0.26638,0.16465017,0.013827210292220116,0.013113219290971756,0.04681515321135521,1019.1892,
2021.02.11 12:42:50,50.0,15.0,0.24,16.38,-31.26,-0.03351985,-0.15562786,10.084685,0.04053091,-0.14176351,0.07118779,0.015430789440870285,0.0033238246105611324,-0.008561613038182259,1019.1892,
2021.02.11 12:42:50,50.0,15.0,0.29999998,16.08,-31.38,-0.13886794,-0.13647367,9.993703,0.07168504,-0.13870917,0.06630088,0.013653798960149288,0.013894650153815746,0.00869171041995287,1019.1836,
2021.02.11 12:42:50,50.0,15.0,-0.06,16.38,-30.84,-0.10774237,-0.07422252,10.005674,0.09489792,-0.09839207,0.047974914,0.007417476270347834,0.010767710395157337,0.02427056059241295,1019.187,
2021.02.11 12:42:50,50.0,15.0,-0.9,16.26,-30.9,-0.13168511,-0.083799616,10.245102,0.05213735,-0.011649201,0.016820785,0.008178622461855412,0.012852761894464493,0.08085518330335617,1019.187,
2021.02.11 12:42:50,50.0,15.0,-0.71999997,16.32,-30.84,0.14126222,-0.076616794,10.302565,0.11078041,-0.015314392,0.02903809,0.007435835897922516,-0.01371050626039505,0.01846342720091343,1019.1926,
2021.02.11 12:42:50,50.0,15.0,-0.9,16.56,-31.199999,-0.15562786,0.14126222,9.751882,0.13888022,0.004233296,-0.020441994,-0.014482780359685421,0.01595739647746086,0.08198792487382889,1019.1926,
2021.02.11 12:42:50,50.0,15.0,-0.17999999,16.08,-31.439999,-0.41181526,0.3902668,9.79019,0.13154984,0.115410775,-0.032048434,-0.0398067906498909,0.04203929007053375,0.08647103607654572,1019.1931,
2021.02.11 12:42:50,50.0,15.0,0.17999999,15.839999,-31.56,-0.3040729,0.15083931,9.814133,0.05702427,0.07570453,0.011322998,-0.01536102220416069,0.03097325563430786,0.04881604015827179,1019.1946,
2021.02.11 12:42:50,50.0,15.0,0.12,15.719999,-31.439999,-0.047885496,0.17478207,9.830893,0.04541783,0.06287636,0.04553145,-0.01777677796781063,0.004870882257819176,0.002036157762631774,1019.1946,
