
time,gFx,gFy,gFz,Bx,By,Bz,Azimuth,Pitch,Roll,
15:11:16:259,0.0073,0.0004,0.9982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
15:11:16:319,0.0108,0.0040,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
15:11:16:349,0.0108,0.0040,0.9995,18.3000,32.8625,-26.0000,0.0000,0.0000,0.0000,
15:11:16:380,0.0106,0.0035,0.9990,18.3000,32.8625,-26.0000,0.0000,0.0000,0.0000,
15:11:16:408,0.0106,0.0035,0.9990,18.0500,33.0875,-25.3625,0.0000,0.0000,0.0000,
15:11:16:461,0.0098,0.0047,0.9991,18.0500,33.0875,-25.3625,0.0000,0.0000,0.0000,
15:11:16:467,0.0098,0.0047,0.9991,17.8625,32.6500,-24.6250,0.0000,0.0000,0.0000,
15:11:16:522,0.0085,0.0052,0.9996,17.8625,32.6500,-24.6250,0.0000,0.0000,0.0000,
15:11:16:547,0.0085,0.0052,0.9996,18.0625,33.6000,-26.5375,0.0000,0.0000,0.0000,
15:11:16:583,0.0113,0.0040,0.9984,18.0625,33.6000,-26.5375,0.0000,0.0000,0.0000,
15:11:16:605,0.0113,0.0040,0.9984,18.0250,33.4750,-27.1500,0.0000,0.0000,0.0000,
15:11:16:643,0.0092,0.0039,0.9976,18.0250,33.4750,-27.1500,0.0000,0.0000,0.0000,
15:11:16:685,0.0092,0.0039,0.9976,17.8750,33.1875,-26.2000,0.0000,0.0000,0.0000,
15:11:16:725,0.0082,0.0052,0.9989,17.8750,33.1875,-26.2000,0.0000,0.0000,0.0000,
15:11:16:727,0.0082,0.0052,0.9989,17.8750,33.1875,-26.2000,331.2079,-0.2369,0.5484,
15:11:16:744,0.0082,0.0052,0.9989,18.5000,33.7875,-26.5750,331.2079,-0.2369,0.5484,
15:11:16:786,0.0108,0.0049,0.9990,18.5000,33.7875,-26.5750,331.2079,-0.2369,0.5484,
15:11:16:787,0.0108,0.0049,0.9990,18.5000,33.7875,-26.5750,331.2086,-0.2345,0.5456,
15:11:16:803,0.0108,0.0049,0.9990,18.4375,33.5250,-26.1750,331.2086,-0.2345,0.5456,
15:11:16:846,0.0107,0.0043,0.9990,18.4375,33.5250,-26.1750,331.2086,-0.2345,0.5456,
15:11:16:847,0.0107,0.0043,0.9990,18.4375,33.5250,-26.1750,331.2072,-0.2342,0.5439,
15:11:16:882,0.0107,0.0043,0.9990,18.0625,32.7750,-25.8375,331.2072,-0.2342,0.5439,
15:11:16:928,0.0095,0.0049,0.9983,18.0625,32.7750,-25.8375,331.2072,-0.2342,0.5439,
15:11:16:929,0.0095,0.0049,0.9983,18.0625,32.7750,-25.8375,331.2090,-0.2312,0.5416,
15:11:16:941,0.0095,0.0049,0.9983,18.2625,33.3750,-26.8750,331.2090,-0.2312,0.5416,
15:11:16:988,0.0079,0.0046,0.9988,18.2625,33.3750,-26.8750,331.2090,-0.2312,0.5416,
15:11:16:989,0.0079,0.0046,0.9988,18.2625,33.3750,-26.8750,331.2109,-0.2328,0.5430,
15:11:17:000,0.0079,0.0046,0.9988,18.0625,33.6625,-25.1750,331.2109,-0.2328,0.5430,
15:11:17:049,0.0093,0.0055,0.9998,18.0625,33.6625,-25.1750,331.2109,-0.2328,0.5430,
15:11:17:050,0.0093,0.0055,0.9998,18.0625,33.6625,-25.1750,331.2114,-0.2344,0.5411,
15:11:17:079,0.0093,0.0055,0.9998,18.1625,33.1875,-24.3875,331.2114,-0.2344,0.5411,
15:11:17:109,0.0100,0.0040,0.9982,18.1625,33.1875,-24.3875,331.2114,-0.2344,0.5411,
15:11:17:110,0.0100,0.0040,0.9982,18.1625,33.1875,-24.3875,331.2127,-0.2348,0.5401,
15:11:17:138,0.0100,0.0040,0.9982,18.5125,33.4875,-25.3500,331.2127,-0.2348,0.5401,
15:11:17:190,0.0098,0.0040,0.9983,18.5125,33.4875,-25.3500,331.2127,-0.2348,0.5401,
15:11:17:191,0.0098,0.0040,0.9983,18.5125,33.4875,-25.3500,331.2145,-0.2334,0.5395,
15:11:17:217,0.0098,0.0040,0.9983,18.1000,32.8500,-24.2500,331.2145,-0.2334,0.5395,
15:11:17:251,0.0095,0.0035,0.9996,18.1000,32.8500,-24.2500,331.2145,-0.2334,0.5395,
15:11:17:252,0.0095,0.0035,0.9996,18.1000,32.8500,-24.2500,331.2157,-0.2312,0.5398,
15:11:17:277,0.0095,0.0035,0.9996,18.3000,33.2625,-24.8875,331.2157,-0.2312,0.5398,
15:11:17:312,0.0109,0.0035,0.9997,18.3000,33.2625,-24.8875,331.2157,-0.2312,0.5398,
15:11:17:313,0.0109,0.0035,0.9997,18.3000,33.2625,-24.8875,331.2161,-0.2325,0.5402,
15:11:17:336,0.0109,0.0035,0.9997,18.2875,33.4125,-24.8000,331.2161,-0.2325,0.5402,
15:11:17:393,0.0119,0.0035,1.0004,18.2875,33.4125,-24.8000,331.2161,-0.2325,0.5402,
15:11:17:394,0.0119,0.0035,1.0004,18.2875,33.4125,-24.8000,331.2164,-0.2335,0.5385,
15:11:17:415,0.0119,0.0035,1.0004,18.7125,33.6125,-24.7125,331.2164,-0.2335,0.5385,
15:11:17:454,0.0106,0.0021,0.9993,18.7125,33.6125,-24.7125,331.2164,-0.2335,0.5385,
15:11:17:455,0.0106,0.0021,0.9993,18.7125,33.6125,-24.7125,331.2177,-0.2376,0.5414,
15:11:17:474,0.0106,0.0021,0.9993,18.4500,33.9375,-24.7625,331.2177,-0.2376,0.5414,
15:11:17:514,0.0116,0.0036,0.9993,18.4500,33.9375,-24.7625,331.2177,-0.2376,0.5414,
15:11:17:515,0.0116,0.0036,0.9993,18.4500,33.9375,-24.7625,331.2182,-0.2354,0.5400,
15:11:17:533,0.0116,0.0036,0.9993,18.6375,33.6500,-23.1000,331.2182,-0.2354,0.5400,
15:11:17:596,0.0093,0.0043,0.9993,18.6375,33.6500,-23.1000,331.2182,-0.2354,0.5400,
15:11:17:597,0.0093,0.0043,0.9993,18.6375,33.6500,-23.1000,331.2150,-0.2371,0.5413,
15:11:17:612,0.0093,0.0043,0.9993,18.4625,33.3500,-23.9875,331.2150,-0.2371,0.5413,
15:11:17:657,0.0112,0.0040,0.9999,18.4625,33.3500,-23.9875,331.2150,-0.2371,0.5413,
15:11:17:657,0.0112,0.0040,0.9999,18.4625,33.3500,-23.9875,331.2151,-0.2362,0.5390,
15:11:17:672,0.0112,0.0040,0.9999,18.2500,32.8125,-24.6875,331.2151,-0.2362,0.5390,
15:11:17:719,0.0124,0.0043,0.9990,18.2500,32.8125,-24.6875,331.2151,-0.2362,0.5390,
